Code,Area,Year,Ethnicity,Attainment8,Progress8
E09000031,Waltham Forest,2018/19,Mixed,45.6,-0.09
E09000031,Waltham Forest,2018/19,Asian,49.4,0.38
E09000031,Waltham Forest,2018/19,Black ,41.8,-0.11
E09000031,Waltham Forest,2018/19,Chinese,55.5,0.75
E09000032,Wandsworth,2018/19,White ,51.8,0.25
E09000032,Wandsworth,2018/19,Mixed,48.5,0.17
E09000032,Wandsworth,2018/19,Asian,52.6,0.69
E09000032,Wandsworth,2018/19,Black ,44.4,0.02
E09000032,Wandsworth,2018/19,Chinese,58.5,0.79
E09000033,Westminster,2018/19,White ,56.9,0.49
E09000033,Westminster,2018/19,Mixed,51.6,0.24
E09000033,Westminster,2018/19,Asian,56.9,0.72
E09000033,Westminster,2018/19,Black ,48.6,0.27
E09000033,Westminster,2018/19,Chinese,66.2,0.81
E09000002,Barking and Dagenham,2019/20,White ,45.6,.
E09000002,Barking and Dagenham,2019/20,Mixed,45,.
E09000002,Barking and Dagenham,2019/20,Asian,56.5,.
E09000002,Barking and Dagenham,2019/20,Black,51.3,.
E09000002,Barking and Dagenham,2019/20,Chinese,65,.
E09000003,Barnet,2019/20,White ,59.5,.
E09000003,Barnet,2019/20,Mixed,61.2,.
E09000003,Barnet,2019/20,Asian,70.4,.
E09000003,Barnet,2019/20,Black,53.9,.
E09000003,Barnet,2019/20,Chinese,76.8,.
E09000004,Bexley,2019/20,White ,49.9,.
E09000004,Bexley,2019/20,Mixed,54.7,.
E09000004,Bexley,2019/20,Asian,65.5,.
E09000004,Bexley,2019/20,Black,57.2,.
E09000004,Bexley,2019/20,Chinese,71.8,.
E09000005,Brent,2019/20,White ,50.9,.
E09000005,Brent,2019/20,Mixed,51.9,.
E09000005,Brent,2019/20,Asian,55.8,.
E09000005,Brent,2019/20,Black,48.8,.
E09000005,Brent,2019/20,Chinese,52.5,.
E09000006,Bromley,2019/20,White ,53.1,.
E09000006,Bromley,2019/20,Mixed,53.5,.
E09000006,Bromley,2019/20,Asian,68.9,.
E09000006,Bromley,2019/20,Black,53.6,.
E09000006,Bromley,2019/20,Chinese,74.8,.
E09000007,Camden,2019/20,White ,56.6,.
E09000007,Camden,2019/20,Mixed,53.9,.
E09000007,Camden,2019/20,Asian,49,.
E09000007,Camden,2019/20,Black,47.8,.
E09000007,Camden,2019/20,Chinese,56.2,.
E09000001,City of London,2019/20,White ,-,.
E09000001,City of London,2019/20,Mixed,-,.
E09000001,City of London,2019/20,Asian,-,.
E09000001,City of London,2019/20,Black,-,.
E09000001,City of London,2019/20,Chinese,-,.
E09000008,Croydon,2019/20,White ,49.6,.
E09000008,Croydon,2019/20,Mixed,49,.
E09000008,Croydon,2019/20,Asian,55.2,.
E09000008,Croydon,2019/20,Black,45.4,.
E09000008,Croydon,2019/20,Chinese,69.3,.
E09000009,Ealing,2019/20,White ,56,.
E09000009,Ealing,2019/20,Mixed,54.6,.
E09000009,Ealing,2019/20,Asian,53.7,.
E09000009,Ealing,2019/20,Black,50.6,.
E09000009,Ealing,2019/20,Chinese,66.9,.
E09000010,Enfield,2019/20,White ,49,.
E09000010,Enfield,2019/20,Mixed,52.3,.
E09000010,Enfield,2019/20,Asian,61.9,.
E09000010,Enfield,2019/20,Black,46.7,.
E09000010,Enfield,2019/20,Chinese,58.1,.
E09000011,Greenwich,2019/20,White ,49.3,.
E09000011,Greenwich,2019/20,Mixed,50.2,.
E09000011,Greenwich,2019/20,Asian,54.7,.
E09000011,Greenwich,2019/20,Black,49.9,.
E09000011,Greenwich,2019/20,Chinese,65.5,.
E09000012,Hackney,2019/20,White ,56.7,.
E09000012,Hackney,2019/20,Mixed,56.9,.
E09000012,Hackney,2019/20,Asian,55.9,.
E09000012,Hackney,2019/20,Black,48.1,.
E09000012,Hackney,2019/20,Chinese,65.1,.
E09000013,Hammersmith and Fulham,2019/20,White ,60.1,.
E09000013,Hammersmith and Fulham,2019/20,Mixed,55.1,.
E09000013,Hammersmith and Fulham,2019/20,Asian,58.4,.
E09000013,Hammersmith and Fulham,2019/20,Black,50.1,.
E09000013,Hammersmith and Fulham,2019/20,Chinese,63.4,.
E09000014,Haringey,2019/20,White ,52.8,.
E09000014,Haringey,2019/20,Mixed,51.6,.
E09000014,Haringey,2019/20,Asian,57.5,.
E09000014,Haringey,2019/20,Black,47.2,.
E09000014,Haringey,2019/20,Chinese,63.9,.
E09000015,Harrow,2019/20,White ,50,.
E09000015,Harrow,2019/20,Mixed,52.8,.
E09000015,Harrow,2019/20,Asian,57.9,.
E09000015,Harrow,2019/20,Black,47.6,.
E09000015,Harrow,2019/20,Chinese,62.1,.
E09000016,Havering,2019/20,White ,51.6,.
E09000016,Havering,2019/20,Mixed,52.1,.
E09000016,Havering,2019/20,Asian,57.4,.
E09000016,Havering,2019/20,Black,51.6,.
E09000016,Havering,2019/20,Chinese,70.8,.
E09000017,Hillingdon,2019/20,White ,49.8,.
E09000017,Hillingdon,2019/20,Mixed,51.1,.
E09000017,Hillingdon,2019/20,Asian,56.5,.
E09000017,Hillingdon,2019/20,Black,49.6,.
E09000017,Hillingdon,2019/20,Chinese,59.4,.
E09000018,Hounslow,2019/20,White ,53,.
E09000018,Hounslow,2019/20,Mixed,52.6,.
E09000018,Hounslow,2019/20,Asian,56.7,.
E09000018,Hounslow,2019/20,Black,49.9,.
E09000018,Hounslow,2019/20,Chinese,73.3,.
E09000019,Islington,2019/20,White ,48.7,.
E09000019,Islington,2019/20,Mixed,48.9,.
E09000019,Islington,2019/20,Asian,55.5,.
E09000019,Islington,2019/20,Black,47.6,.
E09000019,Islington,2019/20,Chinese,68.8,.
E09000020,Kensington and Chelsea,2019/20,White ,60.7,.
E09000020,Kensington and Chelsea,2019/20,Mixed,56.5,.
E09000020,Kensington and Chelsea,2019/20,Asian,58.9,.
E09000020,Kensington and Chelsea,2019/20,Black,52.1,.
E09000020,Kensington and Chelsea,2019/20,Chinese,80,.
E09000021,Kingston upon Thames,2019/20,White ,56,.
E09000021,Kingston upon Thames,2019/20,Mixed,61.8,.
E09000021,Kingston upon Thames,2019/20,Asian,66.3,.
E09000021,Kingston upon Thames,2019/20,Black,49.4,.
E09000021,Kingston upon Thames,2019/20,Chinese,76.5,.
E09000022,Lambeth,2019/20,White ,51.2,.
E09000022,Lambeth,2019/20,Mixed,49.9,.
E09000022,Lambeth,2019/20,Asian,56.6,.
E09000022,Lambeth,2019/20,Black,47.1,.
E09000022,Lambeth,2019/20,Chinese,63.6,.
E09000023,Lewisham,2019/20,White ,50.2,.
E09000023,Lewisham,2019/20,Mixed,51,.
E09000023,Lewisham,2019/20,Asian,50.9,.
E09000023,Lewisham,2019/20,Black,45.8,.
E09000023,Lewisham,2019/20,Chinese,63.6,.
E09000024,Merton,2019/20,White ,54.5,.
E09000024,Merton,2019/20,Mixed,51.7,.
E09000024,Merton,2019/20,Asian,56,.
E09000024,Merton,2019/20,Black,47.4,.
E09000024,Merton,2019/20,Chinese,66.3,.
E09000025,Newham,2019/20,White ,48.1,.
E09000025,Newham,2019/20,Mixed,51.4,.
E09000025,Newham,2019/20,Asian,56.5,.
E09000025,Newham,2019/20,Black,50.4,.
E09000025,Newham,2019/20,Chinese,63.4,.
E09000026,Redbridge,2019/20,White ,52.4,.
E09000026,Redbridge,2019/20,Mixed,53.9,.
E09000026,Redbridge,2019/20,Asian,59.3,.
E09000026,Redbridge,2019/20,Black,49.6,.
E09000026,Redbridge,2019/20,Chinese,71.5,.
E09000027,Richmond upon Thames,2019/20,White ,58.2,.
E09000027,Richmond upon Thames,2019/20,Mixed,54.8,.
E09000027,Richmond upon Thames,2019/20,Asian,58.7,.
E09000027,Richmond upon Thames,2019/20,Black,49.3,.
E09000027,Richmond upon Thames,2019/20,Chinese,73.2,.
E09000028,Southwark,2019/20,White ,55.7,.
E09000028,Southwark,2019/20,Mixed,55.3,.
E09000028,Southwark,2019/20,Asian,57.8,.
E09000028,Southwark,2019/20,Black,51.2,.
E09000028,Southwark,2019/20,Chinese,67.9,.
E09000029,Sutton,2019/20,White ,56.2,.
E09000029,Sutton,2019/20,Mixed,60.6,.
E09000029,Sutton,2019/20,Asian,72.3,.
E09000029,Sutton,2019/20,Black,59,.
E09000029,Sutton,2019/20,Chinese,77.6,.
E09000030,Tower Hamlets,2019/20,White ,43.1,.
E09000030,Tower Hamlets,2019/20,Mixed,50.3,.
E09000030,Tower Hamlets,2019/20,Asian,54.8,.
E09000030,Tower Hamlets,2019/20,Black,49.3,.
E09000030,Tower Hamlets,2019/20,Chinese,62.3,.
E09000031,Waltham Forest,2019/20,White ,50,.
E09000031,Waltham Forest,2019/20,Mixed,47.2,.
E09000031,Waltham Forest,2019/20,Asian,53.4,.
E09000031,Waltham Forest,2019/20,Black,47.9,.
E09000031,Waltham Forest,2019/20,Chinese,58.8,.
E09000032,Wandsworth,2019/20,White ,55.7,.
E09000032,Wandsworth,2019/20,Mixed,51.9,.
E09000032,Wandsworth,2019/20,Asian,57,.
E09000032,Wandsworth,2019/20,Black,46.8,.
E09000032,Wandsworth,2019/20,Chinese,66,.
E09000033,Westminster,2019/20,White ,61,.
E09000033,Westminster,2019/20,Mixed,59.2,.
E09000033,Westminster,2019/20,Asian,58.6,.
E09000033,Westminster,2019/20,Black,54.2,.
E09000033,Westminster,2019/20,Chinese,66.6,.
E09000002,Barking and Dagenham,2020/21,Asian,57.7,.
E09000003,Barnet,2020/21,Asian,71.4,.
E09000004,Bexley,2020/21,Asian,66.3,.
E09000005,Brent,2020/21,Asian,56.2,.
E09000006,Bromley,2020/21,Asian,69.1,.
E09000007,Camden,2020/21,Asian,54.4,.
E09000001,City of London,2020/21,Asian,.,.
E09000008,Croydon,2020/21,Asian,56.2,.
E09000009,Ealing,2020/21,Asian,53.3,.
E09000010,Enfield,2020/21,Asian,62.1,.
E09000011,Greenwich,2020/21,Asian,56.3,.
E09000012,Hackney,2020/21,Asian,56.2,.
E09000013,Hammersmith and Fulham,2020/21,Asian,59.5,.
E09000014,Haringey,2020/21,Asian,55.4,.
E09000015,Harrow,2020/21,Asian,58.7,.
E09000016,Havering,2020/21,Asian,57.7,.
E09000017,Hillingdon,2020/21,Asian,57.6,.
E09000018,Hounslow,2020/21,Asian,57.5,.
E09000019,Islington,2020/21,Asian,60,.
E09000020,Kensington and Chelsea,2020/21,Asian,65.4,.
E09000021,Kingston upon Thames,2020/21,Asian,69.8,.
E09000022,Lambeth,2020/21,Asian,57.5,.
E09000023,Lewisham,2020/21,Asian,57.3,.
E09000024,Merton,2020/21,Asian,57.5,.
E09000025,Newham,2020/21,Asian,58.2,.
E09000026,Redbridge,2020/21,Asian,60.9,.
E09000027,Richmond upon Thames,2020/21,Asian,58.2,.
E09000028,Southwark,2020/21,Asian,62.4,.
E09000029,Sutton,2020/21,Asian,74.7,.
E09000030,Tower Hamlets,2020/21,Asian,55,.
E09000031,Waltham Forest,2020/21,Asian,57,.
E09000032,Wandsworth,2020/21,Asian,54.8,.
E09000033,Westminster,2020/21,Asian,60.6,.
E09000002,Barking and Dagenham,2020/21,Black,53,.
E09000003,Barnet,2020/21,Black,53.4,.
E09000004,Bexley,2020/21,Black,58.4,.
E09000005,Brent,2020/21,Black,48.9,.
E09000006,Bromley,2020/21,Black,56.2,.
E09000007,Camden,2020/21,Black,49.7,.
E09000001,City of London,2020/21,Black,.,.
E09000008,Croydon,2020/21,Black,47.4,.
E09000009,Ealing,2020/21,Black,48.6,.
E09000010,Enfield,2020/21,Black,48,.
E09000011,Greenwich,2020/21,Black,52.2,.
E09000012,Hackney,2020/21,Black,48.8,.
E09000013,Hammersmith and Fulham,2020/21,Black,52.5,.
E09000014,Haringey,2020/21,Black,45.9,.
E09000015,Harrow,2020/21,Black,47.7,.
E09000016,Havering,2020/21,Black,52.9,.
E09000017,Hillingdon,2020/21,Black,51.8,.
E09000018,Hounslow,2020/21,Black,53.6,.
E09000019,Islington,2020/21,Black,49.5,.
E09000020,Kensington and Chelsea,2020/21,Black,55.6,.
E09000021,Kingston upon Thames,2020/21,Black,51.9,.
E09000022,Lambeth,2020/21,Black,49.7,.
E09000023,Lewisham,2020/21,Black,46.6,.
E09000024,Merton,2020/21,Black,49.3,.
E09000025,Newham,2020/21,Black,51.6,.
E09000026,Redbridge,2020/21,Black,49.5,.
E09000027,Richmond upon Thames,2020/21,Black,49.2,.
E09000028,Southwark,2020/21,Black,52.9,.
E09000029,Sutton,2020/21,Black,59.5,.
E09000030,Tower Hamlets,2020/21,Black,49.1,.
E09000031,Waltham Forest,2020/21,Black,47.2,.
E09000032,Wandsworth,2020/21,Black,45.4,.
E09000033,Westminster,2020/21,Black,55.1,.
E09000002,Barking and Dagenham,2020/21,Chinese,67.6,.
E09000003,Barnet,2020/21,Chinese,72.2,.
E09000004,Bexley,2020/21,Chinese,69.7,.
E09000005,Brent,2020/21,Chinese,70.9,.
E09000006,Bromley,2020/21,Chinese,71.6,.
E09000007,Camden,2020/21,Chinese,80.3,.
E09000001,City of London,2020/21,Chinese,.,.
E09000008,Croydon,2020/21,Chinese,69,.
E09000009,Ealing,2020/21,Chinese,82.4,.
E09000010,Enfield,2020/21,Chinese,72.4,.
E09000011,Greenwich,2020/21,Chinese,65.1,.
E09000012,Hackney,2020/21,Chinese,75.3,.
E09000013,Hammersmith and Fulham,2020/21,Chinese,45,.
E09000014,Haringey,2020/21,Chinese,62.3,.
E09000015,Harrow,2020/21,Chinese,74.2,.
E09000016,Havering,2020/21,Chinese,76.6,.
E09000017,Hillingdon,2020/21,Chinese,70.6,.
E09000018,Hounslow,2020/21,Chinese,71.1,.
E09000019,Islington,2020/21,Chinese,c,.
E09000020,Kensington and Chelsea,2020/21,Chinese,72.4,.
E09000021,Kingston upon Thames,2020/21,Chinese,73.3,.
E09000022,Lambeth,2020/21,Chinese,57.5,.
E09000023,Lewisham,2020/21,Chinese,69.9,.
E09000024,Merton,2020/21,Chinese,72.8,.
E09000025,Newham,2020/21,Chinese,70.2,.
E09000026,Redbridge,2020/21,Chinese,74.5,.
E09000027,Richmond upon Thames,2020/21,Chinese,56.4,.
E09000028,Southwark,2020/21,Chinese,62.9,.
E09000029,Sutton,2020/21,Chinese,80.7,.
E09000030,Tower Hamlets,2020/21,Chinese,75.3,.
E09000031,Waltham Forest,2020/21,Chinese,66.2,.
E09000032,Wandsworth,2020/21,Chinese,63.6,.
E09000033,Westminster,2020/21,Chinese,72.9,.
E09000002,Barking and Dagenham,2020/21,Mixed,48.1,.
E09000003,Barnet,2020/21,Mixed,58.7,.
E09000004,Bexley,2020/21,Mixed,56.9,.
E09000005,Brent,2020/21,Mixed,52.8,.
E09000006,Bromley,2020/21,Mixed,54.8,.
E09000007,Camden,2020/21,Mixed,49.6,.
E09000001,City of London,2020/21,Mixed,.,.
E09000008,Croydon,2020/21,Mixed,48.8,.
E09000009,Ealing,2020/21,Mixed,55.8,.
E09000010,Enfield,2020/21,Mixed,53.9,.
E09000011,Greenwich,2020/21,Mixed,51.7,.
E09000012,Hackney,2020/21,Mixed,52.5,.
E09000013,Hammersmith and Fulham,2020/21,Mixed,57,.
E09000014,Haringey,2020/21,Mixed,53.3,.
E09000015,Harrow,2020/21,Mixed,55,.
E09000016,Havering,2020/21,Mixed,50,.
E09000017,Hillingdon,2020/21,Mixed,54.7,.
E09000018,Hounslow,2020/21,Mixed,51.7,.
E09000019,Islington,2020/21,Mixed,52.5,.
E09000020,Kensington and Chelsea,2020/21,Mixed,58.3,.
E09000021,Kingston upon Thames,2020/21,Mixed,59.6,.
E09000022,Lambeth,2020/21,Mixed,48.7,.
E09000023,Lewisham,2020/21,Mixed,48.5,.
E09000024,Merton,2020/21,Mixed,47.1,.
E09000025,Newham,2020/21,Mixed,50,.
E09000026,Redbridge,2020/21,Mixed,53.1,.
E09000027,Richmond upon Thames,2020/21,Mixed,56.8,.
E09000028,Southwark,2020/21,Mixed,53.7,.
E09000029,Sutton,2020/21,Mixed,59.5,.
E09000030,Tower Hamlets,2020/21,Mixed,47.9,.
E09000031,Waltham Forest,2020/21,Mixed,49.7,.
E09000032,Wandsworth,2020/21,Mixed,51.5,.
E09000033,Westminster,2020/21,Mixed,57.5,.
E09000002,Barking and Dagenham,2020/21,White ,44.4,.
E09000003,Barnet,2020/21,White ,61,.
E09000004,Bexley,2020/21,White ,50.4,.
E09000005,Brent,2020/21,White ,53.1,.
E09000006,Bromley,2020/21,White ,53.5,.
E09000007,Camden,2020/21,White ,55.7,.
E09000001,City of London,2020/21,White ,.,.
E09000008,Croydon,2020/21,White ,50.9,.
E09000009,Ealing,2020/21,White ,56.6,.
E09000010,Enfield,2020/21,White ,49.7,.
E09000011,Greenwich,2020/21,White ,48.6,.
E09000012,Hackney,2020/21,White ,58.9,.
E09000013,Hammersmith and Fulham,2020/21,White ,62.2,.
E09000014,Haringey,2020/21,White ,53.3,.
E09000015,Harrow,2020/21,White ,53,.
E09000016,Havering,2020/21,White ,51.9,.
E09000017,Hillingdon,2020/21,White ,48.9,.
E09000018,Hounslow,2020/21,White ,51.9,.
E09000019,Islington,2020/21,White ,50.8,.
E09000020,Kensington and Chelsea,2020/21,White ,58.2,.
E09000021,Kingston upon Thames,2020/21,White ,58.6,.
E09000022,Lambeth,2020/21,White ,53.9,.
E09000023,Lewisham,2020/21,White ,50.5,.
E09000024,Merton,2020/21,White ,54.5,.
E09000025,Newham,2020/21,White ,49.2,.
E09000026,Redbridge,2020/21,White ,52.8,.
E09000027,Richmond upon Thames,2020/21,White ,59,.
E09000028,Southwark,2020/21,White ,57.7,.
E09000029,Sutton,2020/21,White ,55.9,.
E09000030,Tower Hamlets,2020/21,White ,47.5,.
E09000031,Waltham Forest,2020/21,White ,49.7,.
E09000032,Wandsworth,2020/21,White ,56.8,.
E09000033,Westminster,2020/21,White ,62.1,.
